metric,application,reference,absolute_difference,status
case_01.friedman.df,2.0,2.0,0.0,PASS
case_01.friedman.p,0.0030806683904541776,0.0030806683904541768,8.673617379884035e-19,PASS
case_01.friedman.statistic,11.565217391304342,11.565217391304348,5.329070518200751e-15,PASS
case_01.kruskal_wallis.df,2.0,2.0,0.0,PASS
case_01.kruskal_wallis.p,0.6154632042932258,0.6154632042932175,8.215650382226158e-15,PASS
case_01.kruskal_wallis.statistic,0.9707602339181278,0.9707602339181278,0.0,PASS
case_01.mann_whitney.p,0.515951696358554,0.5159516963585487,5.329070518200751e-15,PASS
case_01.mann_whitney.statistic,13.0,13.0,0.0,PASS
case_01.mixed.df1,2.0,2.0,0.0,PASS
case_01.mixed.df2,12.0,12.0,0.0,PASS
case_01.mixed.icc,0.8894153678143558,0.889415347242839,2.0571516823331137e-08,PASS
case_01.mixed.p,8.544719720222452e-06,8.54472037270515e-06,6.524826980661624e-13,PASS
case_01.mixed.statistic,35.96316919466855,35.96316866060377,5.340647817320132e-07,PASS
case_01.mixed_incomplete.df1,2.0,2.0,0.0,PASS
case_01.mixed_incomplete.df2,9.0,9.0,0.0,PASS
case_01.mixed_incomplete.icc,0.8807649621377941,0.880764952816867,9.320927141232005e-09,PASS
case_01.mixed_incomplete.p,0.00012974114707112218,0.0001297411648268909,1.7755768724888807e-11,PASS
case_01.mixed_incomplete.statistic,28.383120011093062,28.3831190110425,1.000050563249033e-06,PASS
case_01.normality.dagostino.p,0.3100638590322309,0.31006385903223155,6.661338147750939e-16,PASS
case_01.normality.dagostino.reject_0_05,0.0,0.0,0.0,PASS
case_01.normality.dagostino.statistic,2.3419540116784505,2.3419540116784447,5.773159728050814e-15,PASS
case_01.normality.shapiro.p,0.370275650810477,0.36295666918082636,0.007318981629650612,PASS
case_01.normality.shapiro.reject_0_05,0.0,0.0,0.0,PASS
case_01.normality.shapiro.statistic,0.9630744207158167,0.9627255582994875,0.0003488624163292542,PASS
case_01.one_way.df1,2.0,2.0,0.0,PASS
case_01.one_way.df2,15.0,15.0,0.0,PASS
case_01.one_way.p,0.5619559752272354,0.5619559752272356,2.220446049250313e-16,PASS
case_01.one_way.statistic,0.5990539315469661,0.5990539315469644,1.6653345369377348e-15,PASS
case_01.paired_t.df,5.0,5.0,0.0,PASS
case_01.paired_t.p,0.043705182571978536,0.04370518257198514,6.6058269965196814e-15,PASS
case_01.paired_t.statistic,2.6821930834667236,2.6821930834667236,0.0,PASS
case_01.pearson.df,7.0,7.0,0.0,PASS
case_01.pearson.p,0.0010418195238803688,0.001041819523880406,3.729655473350135e-17,PASS
case_01.pearson.statistic,0.8970254065189662,0.897025406518966,2.220446049250313e-16,PASS
case_01.spearman.df,7.0,7.0,0.0,PASS
case_01.spearman.p,0.01467411312831232,0.01467411312831307,7.494005416219807e-16,PASS
case_01.spearman.statistic,0.7725393039369072,0.7725393039369072,0.0,PASS
case_01.two_way.factor_a.F,74.202239600427,74.20223960042706,5.684341886080802e-14,PASS
case_01.two_way.factor_a.df1,1.0,1.0,0.0,PASS
case_01.two_way.factor_a.df2,18.0,18.0,0.0,PASS
case_01.two_way.factor_a.p,8.415594182555411e-08,8.415594182555344e-08,6.749793798432706e-22,PASS
case_01.two_way.factor_b.F,14.76661580163428,14.766615801634265,1.5987211554602254e-14,PASS
case_01.two_way.factor_b.df1,2.0,2.0,0.0,PASS
case_01.two_way.factor_b.df2,18.0,18.0,0.0,PASS
case_01.two_way.factor_b.p,0.0001601313901843064,0.00016013139018430676,3.5236570605778894e-19,PASS
case_01.two_way.interaction.F,0.6304390269769821,0.6304390269769699,1.2212453270876722e-14,PASS
case_01.two_way.interaction.df1,2.0,2.0,0.0,PASS
case_01.two_way.interaction.df2,18.0,18.0,0.0,PASS
case_01.two_way.interaction.p,0.5437106143957846,0.543710614395792,7.438494264988549e-15,PASS
case_01.welch_one_way.df1,2.0,2.0,0.0,PASS
case_01.welch_one_way.df2,7.9,7.9,0.0,PASS
case_01.welch_one_way.p,0.5122032486250955,0.5122032486251026,7.105427357601002e-15,PASS
case_01.welch_one_way.statistic,0.7292286690032816,0.7292286690032814,2.220446049250313e-16,PASS
case_01.welch_t.df,6.8,6.8,0.0,PASS
case_01.welch_t.p,0.2600956628997858,0.2600956628997878,1.9984014443252818e-15,PASS
case_01.welch_t.statistic,-1.2284284541972752,-1.228428454197275,2.220446049250313e-16,PASS
case_01.wilcoxon.p,0.10564542920189801,0.10564542920187692,2.1094237467877974e-14,PASS
case_01.wilcoxon.statistic,1.0,1.0,0.0,PASS
case_02.friedman.df,2.0,2.0,0.0,PASS
case_02.friedman.p,0.000911881965554473,0.0009118819655545162,4.3259666682171627e-17,PASS
case_02.friedman.statistic,14.0,14.0,0.0,PASS
case_02.kruskal_wallis.df,2.0,2.0,0.0,PASS
case_02.kruskal_wallis.p,0.8151437122412213,0.815143712241221,3.3306690738754696e-16,PASS
case_02.kruskal_wallis.statistic,0.40878169449597124,0.40878169449597124,0.0,PASS
case_02.mann_whitney.p,0.4013871657117667,0.4013871657117662,4.996003610813204e-16,PASS
case_02.mann_whitney.statistic,17.0,17.0,0.0,PASS
case_02.mixed.df1,2.0,2.0,0.0,PASS
case_02.mixed.df2,14.0,14.0,0.0,PASS
case_02.mixed.icc,0.9295730007746813,0.9295729995411959,1.233485424911862e-09,PASS
case_02.mixed.p,2.914120119515983e-09,2.9141198343296537e-09,2.8518632938942647e-16,PASS
case_02.mixed.statistic,108.998966181839,108.99896796124641,1.7794074125276893e-06,PASS
case_02.mixed_incomplete.df1,2.0,2.0,0.0,PASS
case_02.mixed_incomplete.df2,11.0,11.0,0.0,PASS
case_02.mixed_incomplete.icc,0.9194937452348476,0.9194937323589824,1.2875865262884645e-08,PASS
case_02.mixed_incomplete.p,4.4390536092853346e-07,4.439054210880755e-07,6.015954204963852e-14,PASS
case_02.mixed_incomplete.statistic,73.09606450669438,73.0960625724682,1.9342261765586954e-06,PASS
case_02.normality.dagostino.p,0.0074446366954039125,0.00744463669540391,2.6020852139652106e-18,PASS
case_02.normality.dagostino.reject_0_05,1.0,1.0,0.0,PASS
case_02.normality.dagostino.statistic,9.800522825010189,9.800522825010189,0.0,PASS
case_02.normality.shapiro.p,0.0020233839052055274,0.0020134683566284564,9.91554857707102e-06,PASS
case_02.normality.shapiro.reject_0_05,1.0,1.0,0.0,PASS
case_02.normality.shapiro.statistic,0.8736641385667426,0.8735693407549423,9.479781180032898e-05,PASS
case_02.one_way.df1,2.0,2.0,0.0,PASS
case_02.one_way.df2,18.0,18.0,0.0,PASS
case_02.one_way.p,0.4890169199366726,0.48901691993667684,4.218847493575595e-15,PASS
case_02.one_way.statistic,0.7445564917531595,0.7445564917531522,7.327471962526033e-15,PASS
case_02.paired_t.df,6.0,6.0,0.0,PASS
case_02.paired_t.p,0.004493642974133491,0.004493642974133494,3.469446951953614e-18,PASS
case_02.paired_t.statistic,4.415296307926098,4.415296307926098,0.0,PASS
case_02.pearson.df,8.0,8.0,0.0,PASS
case_02.pearson.p,3.822149158564465e-05,3.822149158564608e-05,1.429791614965259e-18,PASS
case_02.pearson.statistic,-0.944714746635179,-0.944714746635179,0.0,PASS
case_02.spearman.df,8.0,8.0,0.0,PASS
case_02.spearman.p,0.0002024758188856469,0.00020247581888564853,1.6263032587282567e-18,PASS
case_02.spearman.statistic,-0.9153649992003225,-0.9153649992003224,1.1102230246251565e-16,PASS
case_02.two_way.factor_a.F,260.88214152742137,260.88214152742034,1.0231815394945443e-12,PASS
case_02.two_way.factor_a.df1,1.0,1.0,0.0,PASS
case_02.two_way.factor_a.df2,18.0,18.0,0.0,PASS
case_02.two_way.factor_a.p,3.7148606241308914e-12,3.714860624131001e-12,1.0985992510469899e-25,PASS
case_02.two_way.factor_b.F,68.4138479562589,68.41384795625855,3.552713678800501e-13,PASS
case_02.two_way.factor_b.df1,2.0,2.0,0.0,PASS
case_02.two_way.factor_b.df2,18.0,18.0,0.0,PASS
case_02.two_way.factor_b.p,3.879847792654267e-09,3.879847792654414e-09,1.464109684218859e-22,PASS
case_02.two_way.interaction.F,13.212475293369009,13.212475293369026,1.7763568394002505e-14,PASS
case_02.two_way.interaction.df1,2.0,2.0,0.0,PASS
case_02.two_way.interaction.df2,18.0,18.0,0.0,PASS
case_02.two_way.interaction.p,0.0002943133521036983,0.00029431335210369623,2.0599841277224584e-18,PASS
case_02.welch_one_way.df1,2.0,2.0,0.0,PASS
case_02.welch_one_way.df2,9.2,9.2,0.0,PASS
case_02.welch_one_way.p,0.23573589125868505,0.23573589125868527,2.220446049250313e-16,PASS
case_02.welch_one_way.statistic,1.6969073082944308,1.696907308294424,6.8833827526759706e-15,PASS
case_02.welch_t.df,7.7,7.7,0.0,PASS
case_02.welch_t.p,0.16621743678321144,0.16621743678322842,1.6986412276764895e-14,PASS
case_02.welch_t.statistic,-1.5298415422180651,-1.5298415422180651,0.0,PASS
case_02.wilcoxon.p,0.022494271222435414,0.022494271222449624,1.4210854715202004e-14,PASS
case_02.wilcoxon.statistic,0.0,0.0,0.0,PASS
case_03.friedman.df,2.0,2.0,0.0,PASS
case_03.friedman.p,0.00033546262790251635,0.00033546262790251185,4.4994390158148434e-18,PASS
case_03.friedman.statistic,16.0,16.0,0.0,PASS
case_03.kruskal_wallis.df,2.0,2.0,0.0,PASS
case_03.kruskal_wallis.p,0.03463969147145318,0.03463969147145312,6.245004513516506e-17,PASS
case_03.kruskal_wallis.statistic,6.72551020408163,6.72551020408163,0.0,PASS
case_03.mann_whitney.p,0.34076184771411233,0.34076184771409296,1.9373391779708982e-14,PASS
case_03.mann_whitney.statistic,22.0,22.0,0.0,PASS
case_03.mixed.df1,2.0,2.0,0.0,PASS
case_03.mixed.df2,16.0,16.0,0.0,PASS
case_03.mixed.icc,0.9219300212807352,0.9219300239234207,2.6426855148642403e-09,PASS
case_03.mixed.p,1.4941074045733642e-12,1.4941381465405357e-12,3.074196717150276e-17,PASS
case_03.mixed.statistic,232.59813674982652,232.59814378427757,7.0344510447739594e-06,PASS
case_03.mixed_incomplete.df1,2.0,2.0,0.0,PASS
case_03.mixed_incomplete.df2,13.0,13.0,0.0,PASS
case_03.mixed_incomplete.icc,0.9097876270140391,0.9097876135969584,1.3417080779731805e-08,PASS
case_03.mixed_incomplete.p,5.360915765117579e-10,5.360916155439099e-10,3.9032152022397745e-17,PASS
case_03.mixed_incomplete.statistic,166.95398513713178,166.9539796565546,5.480577186744995e-06,PASS
case_03.normality.dagostino.p,1.155728603296531e-25,1.1557286032967317e-25,2.006605591052108e-38,PASS
case_03.normality.dagostino.reject_0_05,1.0,1.0,0.0,PASS
case_03.normality.dagostino.statistic,114.83979270879821,114.83979270879787,3.410605131648481e-13,PASS
case_03.normality.shapiro.p,1.6001965437806503e-05,1.5611035018893635e-05,3.9093041891286853e-07,PASS
case_03.normality.shapiro.reject_0_05,1.0,1.0,0.0,PASS
case_03.normality.shapiro.statistic,0.7648959442521576,0.7642529738693081,0.0006429703828494393,PASS
case_03.one_way.df1,2.0,2.0,0.0,PASS
case_03.one_way.df2,17.0,17.0,0.0,PASS
case_03.one_way.p,0.006759612258324501,0.006759612258324459,4.163336342344337e-17,PASS
case_03.one_way.statistic,6.801085613365671,6.80108561336568,8.881784197001252e-15,PASS
case_03.paired_t.df,7.0,7.0,0.0,PASS
case_03.paired_t.p,0.00022022286722626582,0.00022022286722626582,0.0,PASS
case_03.paired_t.statistic,6.954922751455843,6.954922751455843,0.0,PASS
case_03.pearson.df,9.0,9.0,0.0,PASS
case_03.pearson.p,1.774590803604361e-05,1.774590803604349e-05,1.2197274440461925e-19,PASS
case_03.pearson.statistic,0.9394419700030836,0.9394419700030837,1.1102230246251565e-16,PASS
case_03.spearman.df,9.0,9.0,0.0,PASS
case_03.spearman.p,0.0001326147599568346,0.00013261475995683447,1.3552527156068805e-19,PASS
case_03.spearman.statistic,0.9042154797407622,0.9042154797407624,2.220446049250313e-16,PASS
case_03.two_way.factor_a.F,131.62164676476903,131.62164676476812,9.094947017729282e-13,PASS
case_03.two_way.factor_a.df1,1.0,1.0,0.0,PASS
case_03.two_way.factor_a.df2,18.0,18.0,0.0,PASS
case_03.two_way.factor_a.p,1.036777764755754e-09,1.036777764755815e-09,6.100457017578579e-23,PASS
case_03.two_way.factor_b.F,38.256412574699745,38.256412574699446,2.984279490192421e-13,PASS
case_03.two_way.factor_b.df1,2.0,2.0,0.0,PASS
case_03.two_way.factor_b.df2,18.0,18.0,0.0,PASS
